Movie Title,Year,Adjusted Score,Director,Synopsis,Cast,Consensus
Running Scared,1986,60,Peter Hyams,"Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this... [More]","Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining."
Equilibrium,2002,40,Kurt Wimmer,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If... [More]","Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Equilibrium is a reheated mishmash of other sci-fi movies.
Hero,2004,95,Zhang Yimou,Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the... [More],"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Chen","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for."
Road House,1989,39,Rowdy Herrington,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -... [More],"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.
Unstoppable,2010,86,Tony Scott,"In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel... [More]","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years."
Shaft,1971,88,Gordon Parks,"haft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses... [More]","Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. John","This is the man that would risk his neck for his brother, man. Can you dig it?"
The Villainess (Ak-Nyeo),2017,84,Jung Byung-gil,"ce she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to... [More]","Ok-bin Kim, Kim Seo-hyung, Shin Ha-kyun, Bang Sung-jun",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.
Highlander,1986,69,Russell Mulcahy,"Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,... [More]","Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown","People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons."
Die Hard 2,1990,68,Renny Harlin,"""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in... [More]","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies."
National Treasure,2004,46,Jon Turteltaub,"Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no... [More]","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
